group;ratio_gapless;rmsd
group36;0.572;3.471
group362;0.099;6.611
group363;0.066;11.791
group364;0.214;4.752
group365;0.12;6.446
group366;0.297;11.053
group367;0.44;3.552
group368;0.603;2.8
group37;0.358;6.956
group370;0.788;5.034
group371;0.565;3.563
group372;0.978;1.412
group373;0.343;4.206
group374;0.329;5.333
group375;0.812;3.834
group376;0.215;8.247
group377;0.446;2.982
group378;0.541;8.904
group379;0.563;4.716
group38;0.36;4.312
group380;0.175;6.8
group381;0.731;2.638
group382;0.69;2.835
group384;0.107;7.47
group386;0.392;7.562
group387;0.816;2.33
group388;0.042;10.41
group389;0.104;9.373
group39;0.958;1.415
group390;0.08;17.229
group391;0.149;10.553
group393;0.667;3.176
group394;0.571;6.029
group395;0.442;6.807
group396;0.071;10.493
group397;0.469;3.857
group398;0.7;3.807
group399;0.449;5.245
group4;0.545;6.074
group40;0.704;3.454
group400;0.327;7.757
group401;0.584;6.891
group402;0.706;4.593
group403;0.744;2.897
group404;0.648;3.555
group405;0.777;4.095
group406;0.669;4.356
group407;0.268;6.494
group408;0.02;13.445
group409;0.368;5.921
group41;0.476;5.26
group410;0.241;6.83
group411;0.077;11.509
group412;0.22;8.332
group413;0.667;4.837
group414;0.38;4.188
group415;0.772;5.013
group416;0.824;2.414
group417;0.83;2.174
group418;0.23;12.637
group419;0.0;25.845
group42;0.387;7.79
group420;0.02;18.599
group421;0.412;13.997
group422;0.519;5.734
group423;0.618;5.459
group424;0.39;5.664
group425;0.25;6.11
group43;0.632;4.305
group44;0.398;6.599
group45;0.084;9.774
group46;0.506;7.639
group47;0.409;9.65
group48;0.773;4.778
group49;0.21;5.662
group5;0.584;3.837
group50;0.625;4.071
group51;0.783;4.428
group52;0.108;6.352
group53;0.28;8.235
group54;0.679;4.484
group55;0.799;5.851
group56;0.527;4.797
group57;0.215;8.378
group58;0.332;6.734
group59;0.814;2.395
group6;0.061;11.603
group60;0.042;12.19
group61;0.145;7.461
group62;0.587;5.102
group63;0.273;8.252
group64;0.741;4.107
group65;0.573;4.052
group66;0.206;11.844
group67;0.227;11.574
group68;0.008;16.181
group69;0.34;6.033
group7;0.167;7.973
group70;0.088;10.046
group71;0.794;7.217
group72;0.655;3.819
group73;0.684;4.141
group74;0.286;6.605
group75;0.774;3.942
group76;0.306;10.569
group77;0.0;18.421
group78;0.111;5.067
group79;0.354;4.603
group8;0.868;1.755
group80;0.626;4.288
group81;0.773;2.551
group82;0.715;3.269
group83;0.922;2.057
group84;0.656;3.609
group85;0.614;4.909
group86;0.545;3.442
group87;0.149;7.489
group88;0.288;5.218
group89;0.258;8.134
group9;0.674;7.458
group90;0.826;2.745
group91;0.54;12.269
group92;0.039;18.497
group93;0.667;3.871
group94;0.522;6.901
group95;0.549;3.823
group96;0.558;7.962
group97;0.092;16.551
group98;0.533;8.169
group99;0.067;9.81
