group;ratio_gapless;rmsd
group36;0.351;2.089
group360;0.316;1.224
group361;0.04;2.562
group362;0.022;2.782
group363;0.037;4.139
group364;0.299;2.547
group365;0.011;2.265
group366;0.101;3.417
group367;0.276;2.804
group368;0.214;2.21
group369;0.044;3.006
group37;0.296;1.927
group370;0.535;2.777
group371;0.364;2.134
group372;0.957;1.497
group373;0.083;2.702
group374;0.045;2.632
group375;0.632;2.046
group376;0.068;2.778
group377;0.123;2.55
group378;0.09;2.77
group379;0.403;3.196
group38;0.127;2.965
group380;0.035;2.248
group381;0.476;1.865
group382;0.425;2.05
group383;0.121;1.829
group384;0.391;1.537
group385;0.019;2.18
group386;0.296;2.661
group387;0.682;1.893
group388;0.074;2.855
group389;0.187;3.135
group39;0.907;1.64
group390;0.135;2.847
group391;0.084;2.574
group392;0.038;2.522
group393;0.564;2.626
group394;0.185;2.872
group395;0.283;2.759
group396;0.078;2.124
group397;0.127;2.587
group398;0.641;2.27
group399;0.444;2.983
group4;0.383;2.324
group40;0.503;2.069
group400;0.272;2.817
group401;0.395;3.367
group402;0.462;2.89
group403;0.545;2.567
group404;0.508;1.75
group405;0.59;2.278
group406;0.566;2.411
group407;0.131;3.4
group408;0.023;3.458
group409;0.167;2.96
group41;0.273;3.86
group410;0.139;2.108
group411;0.201;3.72
group412;0.214;4.646
group413;0.513;1.596
group414;0.157;1.646
group415;0.61;1.842
group416;0.63;2.178
group417;0.758;1.928
group418;0.186;2.738
group419;0.041;3.403
group42;0.153;2.861
group420;0.053;4.505
group421;0.26;3.735
group422;0.422;2.989
group423;0.331;1.964
group424;0.226;2.958
group425;0.309;2.546
group43;0.563;1.693
group44;0.311;2.319
group45;0.217;2.099
group46;0.171;3.68
group47;0.207;3.888
group48;0.329;3.656
group49;0.055;1.118
group5;0.276;1.537
group50;0.495;2.537
group51;0.571;2.397
group52;0.14;2.703
group53;0.136;3.034
group54;0.467;2.864
group55;0.542;3.795
group56;0.424;2.916
group57;0.092;3.135
group58;0.109;2.412
group59;0.663;1.489
group6;0.03;2.557
group60;0.027;3.165
group61;0.056;4.11
group62;0.302;3.511
group63;0.128;4.776
group64;0.546;2.602
group65;0.261;3.024
group66;0.178;2.438
group67;0.233;3.645
group68;0.022;3.777
group69;0.27;2.239
group7;0.046;2.848
group70;0.134;2.298
group71;0.533;2.17
group72;0.346;2.337
group73;0.513;2.807
group74;0.109;3.045
group75;0.58;2.713
group76;0.082;2.835
group77;0.004;2.561
group78;0.059;2.162
group79;0.071;3.4
group8;0.814;1.343
group80;0.436;2.676
group81;0.495;2.075
group82;0.533;2.769
group83;0.843;2.036
group84;0.417;2.063
group85;0.505;2.925
group86;0.288;2.619
group87;0.104;3.142
group88;0.022;2.519
group89;0.122;3.037
group9;0.485;3.261
group90;0.655;2.379
group91;0.323;2.435
group92;0.039;2.334
group93;0.365;2.123
group94;0.391;2.59
group95;0.22;3.012
group96;0.286;3.347
group97;0.171;3.34
group98;0.389;2.097
group99;0.037;3.59
