group401;3.367
group402;2.890
group403;2.567
group404;1.750
group405;2.278
group406;2.411
group407;3.400
group408;3.458
group409;2.960
group410;2.108
group411;3.720
group412;4.646
group413;1.596
group414;1.646
group415;1.842
group416;2.178
group417;1.928
group418;2.738
group419;3.403
group420;4.505
group421;3.735
group422;2.989
group423;1.964
group424;2.958
group425;2.546
